param_pca__n_components,param_svc__C,param_svc__gamma,mean_fit_time,mean_test_score,std_test_score,rank_test_score
30,5.0,0.001,0.6530459721883138,0.6319991703940123,0.01116765983176645,1
30,5.0,scale,0.5590253671010336,0.6301998903940701,0.012740694318290667,2
30,1.0,0.001,0.5997567176818848,0.6226008099700588,0.009037214865197393,3
50,5.0,0.001,0.8852809270222982,0.6213999697059388,0.005388864361876072,4
50,5.0,scale,0.7585376898447672,0.620800209705958,0.010312486802779713,5
30,1.0,scale,0.5964535077412924,0.6149993290657595,0.007720447909098111,6
50,1.0,0.001,0.8213231563568115,0.6132006491858891,0.005188387763197262,7
30,0.5,0.001,0.7425299485524496,0.6108010090658939,0.005299201125708789,8
50,1.0,scale,0.7637996673583984,0.6101999288017547,0.007106559429874502,9
100,1.0,0.001,1.3742467562357585,0.6069997285056794,0.006439343556781834,10
50,0.5,0.001,0.7773335774739584,0.6050014486898538,0.00691990731564987,11
100,1.0,scale,1.200101613998413,0.6028012884817994,0.009706849419930205,12
100,5.0,scale,1.29391876856486,0.6003990078334872,0.006844787068056717,13
50,0.5,scale,0.7009742259979248,0.6002018083778203,0.009375450330636702,14
30,0.5,scale,0.6828510761260986,0.5998012882417515,0.00843708523007337,15
100,5.0,0.001,1.338794469833374,0.599201048145713,0.005217970828341309,16
100,0.5,scale,1.2188175519307454,0.5930008476095897,0.00931178986748364,17
100,0.5,0.001,1.3604674339294434,0.592800527529548,0.007580039530234158,18
30,5.0,0.01,0.935709555943807,0.5164027218565891,0.013558384789174876,19
30,1.0,0.01,0.8999198277791342,0.5106022012884338,0.013292269728857272,20
50,5.0,0.01,1.2348949114481609,0.4774017585438495,0.010588983175842642,21
30,0.5,0.01,0.9668075243631998,0.4742028785119327,0.012995643834380564,22
50,1.0,0.01,1.1735614935557048,0.4668015976636606,0.008696500669823132,23
50,0.5,0.01,1.0901790459950764,0.4146026737029545,0.015084538912237029,24
100,5.0,0.01,1.835696538289388,0.40940263327886645,0.010408088607122416,25
100,1.0,0.01,1.9091435273488362,0.39160259184657664,0.010390440863660807,26
100,0.5,0.01,1.8111073176066081,0.34080290784580186,0.010692573830641828,27
